dr7objid,asset_id,gz2_class
587733079744512108,253043,Ec
588295842860105844,238739,Ec
587730847961645743,274697,Ser
587732053237366856,50470,Er
587739096983076959,117625,Sb
587739408407003357,129057,Sb
587733610161832112,254030,Sb
587731889501896902,48574,Ser
587739380453474515,124421,SB
587739720835334302,138448,Sb
587745539445751941,188348,SB
588013384356855914,205136,Er
587732771573661934,62269,Er
587735042539585637,77546,Ei
588007006334484579,192918,SB
587739720310653245,138228,Sb
588023046943342607,235546,Sen
588017565486940277,209556,Ei
587735663162884205,84268,SB
587741817323585698,160793,Ec
587733609090515222,72032,Er
587731187262947661,279786,Ei
587729159504724152,31307,Ei
588011101029335261,199443,SB
587739707412774947,135862,SB
588017603624632512,211363,Sc
587731174917931562,275892,Ei
587725816410144861,12040,SB
587733079200170081,63690,Sc
587735743159337630,87924,Sd
587725816949112997,12352,Sen
587726014542577823,15019,Ser
587741708336300056,156149,A
587729409158283601,36449,Er
587731869631512768,46637,Er
588023720710176948,237677,Ec
587731512608555140,283383,Sc
588848899361734804,242387,Ec
587729777444782205,39284,Sc
587722984432992471,1847,Ei
587731873922351266,47581,Er
587745243618738318,267028,Er
587739844311908602,144568,Ei
587738947745480810,258837,Sc
587736477050667201,88463,Ei
587736523761713337,89898,Ser
587739608096178192,131612,Sb
587722982294618253,452,Sc
587742550155854364,171914,Sc
587738565483495735,111610,Er
587739706869874811,135275,SB
587736584965455969,93869,Sc
587733610163667153,72507,Ei
587742610810601756,265936,Sb
587739505544134729,130430,Ei
587738569780625579,258455,Sc
587739720309408019,138184,SB
587741390501118116,148376,Sc
587735666915278963,85583,Sb
587739827129024708,262021,Sc
587738615953227918,258599,Sc
587742903403806886,184942,Ei
587741710487978134,263701,Sc
587732053775745289,50665,Er
588017724401123486,221488,Ei
588017702925369450,216277,Ei
587732136993554575,52257,Sd
587736619330109831,95672,Er
587733412068655404,67933,Ei
587733603721937150,70111,Sb
587731499720114396,43856,Ei
587741386736271758,148054,SB
587742189368573994,170001,Sc
587729774757150735,38784,Sb
588017605765038228,212922,Sc
588017948284747867,224687,Er
587739608103977031,131755,Er
588297864708751638,239743,Sb
587725550134952021,8651,Ei
587733429237383367,68583,Ei
587726014548279538,15128,SB
587739505014735006,130340,Ec
587729227689361562,32499,Sc
588017702953418963,270605,Sen
587736619321655567,95465,Ser
588009365862482049,192997,Ei
587741722823884931,158419,Er
587734622169989138,73174,Ei
587739507162153085,131084,SB
587732577762148550,56802,Ser
587742616173150219,178866,Ei
588017979957772437,229169,Sc
587733195697225829,65328,Sb
587733397572485325,65710,Ei
588017626157219963,214079,Sb
587739646743937163,261024,Ser
587738572995952838,113072,Sc
587736803473424574,97759,SB
587739809954332928,139990,SB
587733441586594048,69511,Ei
587741725508435984,158929,Er
587738572462948556,113037,SB
587730021716197640,41007,Ei
587741828043767967,161190,Er
587742014375526589,164676,SB
587738569773613250,112330,Er
587733605336219875,71281,Ser
587729751673536951,37811,Ser
587726033313398968,19256,Sc
587730021720523020,41103,Sb
587728308567343330,23393,Sb
587738372206231868,109886,Ei
587736976883646548,103812,Sc
588009366938058909,193256,Sc
587729158443565073,30659,Ei
587735344794697855,79796,Sb
587731679573180832,45296,Er
587741490892636472,150785,Er
587734893288816718,75743,Ser
587739827662487707,142712,Ser
587738409785229542,110323,Ei
587731512617402562,283702,Sb
587735241711223042,79052,Ei
587726015620907154,15945,Er
587739506625871981,260623,Sb
587738067265388814,108160,Er
587742061629276388,168185,SB
587737808493019424,105382,SB
588017566563500112,209929,Ei
587737827283501414,107138,SB
587733079198007394,63668,SB
587736963456696442,102839,SB
588297863109673129,238857,Er
587736807761969293,256681,Sc
587745970003640541,189197,SB
587722984432730281,1834,Sc
587742550150807791,171856,Sc
587731870705385675,47100,Sb
587739845393514845,145316,Er
587734691964387475,74302,Sc
587741816788156512,160557,Ei
587742901795553358,184620,SB
587739406776926300,126764,Ei
587742902331834598,184720,Ser
587736920512659794,101280,Sc
588015510355443952,294852,Sc
587735348030668828,80907,Ei
587737809564991908,105772,SB
588017567100108941,210105,Sc
588017991235928340,230564,Ei
588015508198719580,289439,Sc
587741709945602170,157234,Sc
587732703948767255,61029,Er
587725817479757931,12630,Ei
587739303686766730,259673,Sc
587739505007394930,130229,Sc
587738564944068992,111473,SB
587726033870389388,20203,Er
587742059994677429,165746,Sb
587739504470720602,129954,Er
587742062676738191,169217,Ei
587732771579625616,62372,SB
587742772947058762,180728,Sb
587742191528640755,171404,Ser
588017702387122271,215656,Sb
588017979453538524,271968,Ser
587726015610355904,15803,Sc
587739380448362630,124312,Ei
587732483268935726,54666,SB
587742062156578967,168768,Sb
587744638566007010,185544,Sc
587739609158058132,260790,Ei
587736584425635842,93493,Sc
587738947217129555,115659,SB
587732703940509880,252676,Sc
587739814783418627,142007,Sb
587731187261702689,279748,Ei
587745244161507505,186742,SB
587739809955578034,140031,Ec
587735348557054001,81220,Er
587729751136862607,37689,Ec
587744728224497727,185680,Er
587735695375597687,86326,Ei
588017978362036251,226876,SB
587741709958840428,157448,Sen
587739646207787017,133611,Sb
588017978900283611,227772,SB
587722981747458177,78,Ei
587724650873618592,3666,Sc
588013382184337558,203289,Sb
587739707422671137,136104,Ei
587736543093129464,91962,Ei
587741531712192515,151529,Ei
588017605223776400,212442,Sb
587738196651409626,109388,Sb
587745540520345748,188864,Sen
587739811024732197,140941,Sb
587733398641180821,66272,Sb
587731186191565107,278035,SB
587734623235604879,73605,Sc
587738574605975725,113448,Ei
587739706873348338,135348,Ei
587731891114672202,49124,Ser
587735660478791858,83382,Sb
587739607564484740,131418,Ec
588010879295684755,198155,Sc
588017725476765809,222162,Er
588007004720464080,191571,SB
587736899040903516,99717,Ei
587742014357569603,164435,Sc
588013383269810362,204302,SB
587738947735453964,115814,Ei
587735042544238711,77622,Sc
587725503947800816,8285,Er
588013382210420871,203669,Sc
587738065661526205,107572,Er
587739827676119432,143040,Ei
587736920509579690,101251,Sc
587732483268215071,54654,Sb
587728949584986282,28676,Ei
587742864204759134,266693,Ei
587742594693922849,177338,Ei
588017949886906524,225439,Ei
587725505019969729,8444,Ei
587744728223383791,185665,Sc
588017702950731988,216743,Sc
587731680118440124,45618,Ei
588010358549119133,195725,Sd
588015507652935938,287770,Sc
587726101495284140,21077,Ei
587732484367450183,56077,SB
588017627243479334,215019,Er
587739131351335222,119441,SB
588013382740607187,204002,Sc
587738066729697504,107969,Sc
587736752472785326,96409,Sc
588017978345717891,226630,Sb
